"_time",host,AddedBy,MemberName,GroupName
"2026-07-31T12:19:16.926-0500",DC01,"ANONYMOUS LOGON","CN=Administrator,CN=Users,DC=CANNON,DC=com","Group Policy Creator Owners"
"2026-07-31T12:19:16.921-0500",DC01,"ANONYMOUS LOGON","CN=Administrator,CN=Users,DC=CANNON,DC=com","Domain Admins"
