"_time",host,AccountName,SourceIP,LogonType
"2026-08-07T18:53:30.685-0500",DC01,"DC01$","192.168.81.181",10
"2026-08-07T18:53:30.685-0500",DC01,"DC01$","192.168.81.181",10
